Input,Output
"I'm feeling a bit tired today.","Je me sens un peu fatigué aujourd'hui."
"Can you help me with this task?","Pouvez-vous m'aider avec cette tâche?"
"She has a beautiful singing voice.","Elle a une belle voix pour chanter."
"The weather is nice today, isn't it?","Il fait beau aujourd'hui, n'est-ce pas?"
"He missed the bus this morning.","Il a raté le bus ce matin."
"Let's meet at the coffee shop at 3 pm.","Retrouvons-nous au café à 15 heures."
"They went for a walk in the park.","Ils sont allés se promener dans le parc."
"I forgot to buy milk at the grocery store.","J'ai oublié d'acheter du lait à l'épicerie."
"She is learning to play the piano.","Elle apprend à jouer du piano."
"They are planning a trip to France.","Ils prévoient un voyage en France."
